model,rounds,criterion,depth,weight,feature,subsample,bootstrap,learning_rate,best_iter_mean,best_iter_max,cv_loss,cv_std,train_loss,train_std,used_time,folds,Xshape,option,
XGBC,1500,binary:logistic,10,10,0.5,0.85,,0.01,1192.8,1488,0.461823202,0.001607246,0.361328901,0.006939229,3177.116169,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,20,10,0.5,0.85,,0.01,752.8,855,0.461464742,0.001742002,0.271433898,0.007692493,5057.319825,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,2,0.5,0.85,,0.01,1085.6,1330,0.459883077,0.001329876,0.323844793,0.00650899,3301.546516,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,5,0.5,0.85,,0.01,1240.2,1478,0.460442527,0.001190743,0.337503541,0.008415797,3142.570808,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,10,0.5,0.85,,0.01,1205.4,1492,0.461214308,0.001229761,0.360114508,0.006343065,2641.69679,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,20,10,0.5,0.85,,0.01,730,832,0.461424054,0.001763576,0.276131031,0.011153002,3145.957435,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,20,20,0.5,0.85,,0.01,866.4,904,0.46174234,0.001349746,0.325599412,0.003152213,3291.505125,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,2,0.5,0.85,,0.01,996.8,1193,0.460642512,0.001386166,0.330798154,0.007150187,3719.844267,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,5,0.5,0.85,,0.01,1085.2,1189,0.46126,0.00124946,0.346468859,0.004088255,3738.847839,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,10,0.5,0.85,,0.01,1185.2,1378,0.462038761,0.001005252,0.362067779,0.007529956,3885.848841,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,2,0.5,0.85,,0.01,1030.2,1138,0.459987948,0.001614632,0.331997559,0.004636706,4100.812919,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,5,0.5,0.85,,0.01,1288,1498,0.46067,0.001550284,0.339160341,0.010956632,4668.692745,5,"(114321, 108)",[],
RFC,100,gini,10,30,0.5,1,TRUE,,,,0.470431771,0.001051399,,,1060.613566,5,"(114321, 108)",[],
RFC,100,gini,10,20,0.5,1,TRUE,,,,0.470559076,0.001017706,,,1091.408061,5,"(114321, 108)",[],
RFC,100,gini,10,10,0.5,1,TRUE,,,,0.470484911,0.00110715,,,1015.510558,5,"(114321, 108)",[],
RFC,100,gini,10,5,0.5,1,TRUE,,,,0.470507258,0.001175094,,,978.14238,5,"(114321, 108)",[],
RFC,100,gini,10,2,0.5,1,TRUE,,,,0.470442533,0.001235165,,,1598.418674,5,"(114321, 108)",[],
RFC,100,gini,10,1,0.5,1,TRUE,,,,0.470673967,0.001209137,,,1542.392978,5,"(114321, 108)",[],
RFC,100,gini,20,30,0.5,1,TRUE,,,,0.468702097,0.001082535,,,2542.644203,5,"(114321, 108)",[],
RFC,100,gini,20,20,0.5,1,TRUE,,,,0.46892085,0.001090369,,,2602.894846,5,"(114321, 108)",[],
RFC,100,gini,20,10,0.5,1,TRUE,,,,0.468860994,0.001086322,,,1936.165996,5,"(114321, 108)",[],
RFC,100,gini,20,5,0.5,1,TRUE,,,,0.469283907,0.001625133,,,1915.23655,5,"(114321, 108)",[],
RFC,100,gini,20,2,0.5,1,TRUE,,,,0.470247423,0.000761107,,,2645.233522,5,"(114321, 108)",[],
RFC,100,gini,20,1,0.5,1,TRUE,,,,0.470296876,0.001074405,,,2858.709085,5,"(114321, 108)",[],
RFC,100,gini,30,30,0.5,1,TRUE,,,,0.468874072,0.001071278,,,1357.336285,5,"(114321, 108)",[],
RFC,100,gini,30,20,0.5,1,TRUE,,,,0.469069643,0.000874396,,,1384.838038,5,"(114321, 108)",[],
RFC,100,gini,30,10,0.5,1,TRUE,,,,0.470508459,0.000493713,,,1582.878045,5,"(114321, 108)",[],
RFC,100,gini,30,5,0.5,1,TRUE,,,,0.472239644,0.001777069,,,2462.617754,5,"(114321, 108)",[],
RFC,100,gini,30,2,0.5,1,TRUE,,,,0.475300358,0.002953321,,,2367.461788,5,"(114321, 108)",[],
RFC,100,gini,30,1,0.5,1,TRUE,,,,0.477700119,0.002122158,,,1893.21995,5,"(114321, 108)",[],
RFC,100,gini,40,30,0.5,1,TRUE,,,,0.46890358,0.001020588,,,1244.01083,5,"(114321, 108)",[],
RFC,100,gini,40,20,0.5,1,TRUE,,,,0.468868795,0.000856431,,,1333.049913,5,"(114321, 108)",[],
RFC,100,gini,40,10,0.5,1,TRUE,,,,0.470628828,0.001597934,,,1485.59463,5,"(114321, 108)",[],
RFC,100,gini,40,5,0.5,1,TRUE,,,,0.472333798,0.000895822,,,1640.243601,5,"(114321, 108)",[],
RFC,100,gini,40,2,0.5,1,TRUE,,,,0.479650561,0.001490864,,,1823.89477,5,"(114321, 108)",[],
RFC,100,gini,40,1,0.5,1,TRUE,,,,0.487531177,0.003783567,,,1917.693981,5,"(114321, 108)",[],
RFC,100,gini,50,30,0.5,1,TRUE,,,,0.46890358,0.001020588,,,1238.921942,5,"(114321, 108)",[],
RFC,100,gini,50,20,0.5,1,TRUE,,,,0.46889122,0.000842623,,,1331.447817,5,"(114321, 108)",[],
RFC,100,gini,50,10,0.5,1,TRUE,,,,0.470151281,0.001701943,,,1487.484779,5,"(114321, 108)",[],
RFC,100,gini,50,5,0.5,1,TRUE,,,,0.471924628,0.001181046,,,1643.827715,5,"(114321, 108)",[],
RFC,100,gini,50,2,0.5,1,TRUE,,,,0.479417945,0.002309865,,,1825.694146,5,"(114321, 108)",[],
RFC,100,gini,50,1,0.5,1,TRUE,,,,0.487330959,0.003606317,,,1924.460524,5,"(114321, 108)",[],
RFC,100,gini,60,30,0.5,1,TRUE,,,,0.46890358,0.001020588,,,1234.282773,5,"(114321, 108)",[],
RFC,100,gini,60,20,0.5,1,TRUE,,,,0.46889122,0.000842623,,,1305.167426,5,"(114321, 108)",[],
RFC,100,gini,60,10,0.5,1,TRUE,,,,0.470150419,0.001710639,,,1483.219171,5,"(114321, 108)",[],
RFC,100,gini,60,5,0.5,1,TRUE,,,,0.472832847,0.001247841,,,1649.496504,5,"(114321, 108)",[],
RFC,100,gini,60,2,0.5,1,TRUE,,,,0.47835471,0.00252548,,,1942.528479,5,"(114321, 108)",[],
RFC,100,gini,60,1,0.5,1,TRUE,,,,0.489647928,0.005527766,,,2020.381709,5,"(114321, 109)",[],
RFC,100,entropy,10,30,0.5,1,TRUE,,,,0.469947853,0.001021792,,,1505.412359,5,"(114321, 108)",[],
RFC,100,entropy,10,20,0.5,1,TRUE,,,,0.469675603,0.001089195,,,1513.759442,5,"(114321, 108)",[],
RFC,100,entropy,10,10,0.5,1,TRUE,,,,0.469518123,0.001043165,,,1495.225332,5,"(114321, 108)",[],
RFC,100,entropy,10,5,0.5,1,TRUE,,,,0.469411179,0.001435323,,,1504.533723,5,"(114321, 108)",[],
RFC,100,entropy,10,2,0.5,1,TRUE,,,,0.469105761,0.001223354,,,1547.314286,5,"(114321, 108)",[],
RFC,100,entropy,20,30,0.5,1,TRUE,,,,0.468220341,0.001050546,,,1934.823495,5,"(114321, 108)",[],
RFC,100,entropy,20,20,0.5,1,TRUE,,,,0.467595846,0.001302748,,,2000.037216,5,"(114321, 108)",[],
RFC,100,entropy,20,10,0.5,1,TRUE,,,,0.46716956,0.00125091,,,2202.292892,5,"(114321, 108)",[],
RFC,100,entropy,20,5,0.5,1,TRUE,,,,0.466989996,0.001110905,,,2357.358655,5,"(114321, 108)",[],
RFC,100,entropy,20,2,0.5,1,TRUE,,,,0.46716854,0.001517287,,,2495.911587,5,"(114321, 108)",[],
